company_id,ticker,ts,value,interval,valueUnit
1,AAPL,1292371200000,11.441429138183594,0,USD
1,AAPL,1292457600000,11.473214149475098,0,USD
1,AAPL,1292544000000,11.450357437133789,0,USD
1,AAPL,1292803200000,11.507499694824219,0,USD
1,AAPL,1292889600000,11.578571319580078,0,USD
1,AAPL,1292976000000,11.6128568649292,0,USD
1,AAPL,1293062400000,11.557143211364746,0,USD
1,AAPL,1293408000000,11.59571361541748,0,USD
1,AAPL,1293494400000,11.623929023742676,0,USD
1,AAPL,1293580800000,11.617500305175781,0,USD
1,AAPL,1293667200000,11.559286117553711,0,USD
1,AAPL,1293753600000,11.520000457763672,0,USD
1,AAPL,1294012800000,11.770357131958008,0,USD
1,AAPL,1294099200000,11.831786155700684,0,USD
1,AAPL,1294185600000,11.928570747375488,0,USD
1,AAPL,1294272000000,11.918929100036621,0,USD
1,AAPL,1294358400000,12.00428581237793,0,USD
1,AAPL,1294617600000,12.23035717010498,0,USD
1,AAPL,1294704000000,12.20142936706543,0,USD
1,AAPL,1294790400000,12.300713539123535,0,USD
1,AAPL,1294876800000,12.34571361541748,0,USD
1,AAPL,1294963200000,12.445713996887207,0,USD
1,AAPL,1295308800000,12.166070938110352,0,USD
1,AAPL,1295395200000,12.101428985595703,0,USD
1,AAPL,1295481600000,11.881428718566895,0,USD
1,AAPL,1295568000000,11.668571472167969,0,USD
1,AAPL,1295827200000,12.051786422729492,0,USD
1,AAPL,1295913600000,12.192856788635254,0,USD
1,AAPL,1296000000000,12.280357360839844,0,USD
1,AAPL,1296086400000,12.257499694824219,0,USD
1,AAPL,1296172800000,12.003570556640625,0,USD
1,AAPL,1296432000000,12.118571281433105,0,USD
1,AAPL,1296518400000,12.322500228881836,0,USD
1,AAPL,1296604800000,12.29714298248291,0,USD
1,AAPL,1296691200000,12.265713691711426,0,USD
1,AAPL,1296777600000,12.375,0,USD
1,AAPL,1297036800000,12.567143440246582,0,USD
1,AAPL,1297123200000,12.685713768005371,0,USD
1,AAPL,1297209600000,12.791428565979004,0,USD
1,AAPL,1297296000000,12.662142753601074,0,USD
1,AAPL,1297382400000,12.744643211364746,0,USD
1,AAPL,1297641600000,12.82785701751709,0,USD
1,AAPL,1297728000000,12.853570938110352,0,USD
1,AAPL,1297814400000,12.968929290771484,0,USD
1,AAPL,1297900800000,12.796428680419922,0,USD
1,AAPL,1297987200000,12.520000457763672,0,USD
1,AAPL,1298332800000,12.09321403503418,0,USD
1,AAPL,1298419200000,12.236429214477539,0,USD
1,AAPL,1298505600000,12.24571418762207,0,USD
1,AAPL,1298592000000,12.434286117553711,0,USD
1,AAPL,1298851200000,12.614643096923828,0,USD
1,AAPL,1298937600000,12.475357055664062,0,USD
